"series","alias","status","campaign","ad_name","language","primary_text","headline","description","cta_button","website_url","url_parameters","creative_9x16","creative_4x5","creative_1x1"
"The Secret Alliance","alliance","✅ ready","202610_pilot-test_alliance","alliance_h08_hinglish","hinglish","Chaar ajnabi. Ek jaanleva saazish. 🧨
Episode 1 FREE on Gulel. Ep 2+ with coins or VIP.","The Secret Alliance · Episode 1 FREE","2-min episodes · AI Original","WATCH_MORE","https://thegulel.com/go/alliance","utm_source={{site_source_name}}&utm_medium=paid_social&utm_campaign={{campaign.name}}&utm_term={{adset.name}}&utm_content={{ad.name}}","marketing/assets/ads/alliance/meta-9x16.jpg","marketing/assets/ads/alliance/meta-4x5.jpg","marketing/assets/ads/alliance/meta-1x1.jpg"
"The Secret Alliance","alliance","✅ ready","202610_pilot-test_alliance","alliance_h08_en","en","Four strangers. One deadly conspiracy. Trust no one.
Episode 1 free on Gulel · Ep 2+ with coins or VIP.","The Secret Alliance · Episode 1 FREE","2-min episodes · AI Original","WATCH_MORE","https://thegulel.com/go/alliance","utm_source={{site_source_name}}&utm_medium=paid_social&utm_campaign={{campaign.name}}&utm_term={{adset.name}}&utm_content={{ad.name}}","marketing/assets/ads/alliance/meta-9x16.jpg","marketing/assets/ads/alliance/meta-4x5.jpg","marketing/assets/ads/alliance/meta-1x1.jpg"
"Whispers in the Dark","whispers","✅ ready","202610_pilot-test_whispers","whispers_h06_hi","hi","दादी की हवेली विरासत में मिली… साथ में 200 साल पुराना श्राप। 🕯️
Episode 1 फ्री देखें। आगे के एपिसोड coins या VIP से।","Whispers in the Dark · Episode 1 FREE","2-min episodes · AI Original","WATCH_MORE","https://thegulel.com/go/whispers","utm_source={{site_source_name}}&utm_medium=paid_social&utm_campaign={{campaign.name}}&utm_term={{adset.name}}&utm_content={{ad.name}}","marketing/assets/ads/whispers/meta-9x16.jpg","marketing/assets/ads/whispers/meta-4x5.jpg","marketing/assets/ads/whispers/meta-1x1.jpg"
"Whispers in the Dark","whispers","✅ ready","202610_pilot-test_whispers","whispers_h06_hinglish","hinglish","Haveli ki deewarein uska naam le rahi hain… 🕯️
Episode 1 FREE on Gulel. Ep 2+ with coins or VIP.","Whispers in the Dark · Episode 1 FREE","2-min episodes · AI Original","WATCH_MORE","https://thegulel.com/go/whispers","utm_source={{site_source_name}}&utm_medium=paid_social&utm_campaign={{campaign.name}}&utm_term={{adset.name}}&utm_content={{ad.name}}","marketing/assets/ads/whispers/meta-9x16.jpg","marketing/assets/ads/whispers/meta-4x5.jpg","marketing/assets/ads/whispers/meta-1x1.jpg"
"Whispers in the Dark","whispers","✅ ready","202610_pilot-test_whispers","whispers_h06_en","en","The walls of the haveli have started to whisper her name.
Episode 1 free on Gulel · Ep 2+ with coins or VIP.","Whispers in the Dark · Episode 1 FREE","2-min episodes · AI Original","WATCH_MORE","https://thegulel.com/go/whispers","utm_source={{site_source_name}}&utm_medium=paid_social&utm_campaign={{campaign.name}}&utm_term={{adset.name}}&utm_content={{ad.name}}","marketing/assets/ads/whispers/meta-9x16.jpg","marketing/assets/ads/whispers/meta-4x5.jpg","marketing/assets/ads/whispers/meta-1x1.jpg"
"Million Dollar Heart","heart","✅ ready","202610_pilot-test_heart","heart_h02_hi","hi","देश का सबसे युवा अरबपति… और एक टीचर जिसे कुछ नहीं पता। 💛
Episode 1 फ्री देखें। आगे के एपिसोड coins या VIP से।","Million Dollar Heart · Episode 1 FREE","2-min episodes · AI Original","WATCH_MORE","https://thegulel.com/go/heart","utm_source={{site_source_name}}&utm_medium=paid_social&utm_campaign={{campaign.name}}&utm_term={{adset.name}}&utm_content={{ad.name}}","marketing/assets/ads/heart/meta-9x16.jpg","marketing/assets/ads/heart/meta-4x5.jpg","marketing/assets/ads/heart/meta-1x1.jpg"
"Million Dollar Heart","heart","✅ ready","202610_pilot-test_heart","heart_h02_hinglish","hinglish","Sabse young billionaire… aur ek teacher jise kuch nahi pata. 💛
Episode 1 FREE on Gulel. Ep 2+ with coins or VIP.","Million Dollar Heart · Episode 1 FREE","2-min episodes · AI Original","WATCH_MORE","https://thegulel.com/go/heart","utm_source={{site_source_name}}&utm_medium=paid_social&utm_campaign={{campaign.name}}&utm_term={{adset.name}}&utm_content={{ad.name}}","marketing/assets/ads/heart/meta-9x16.jpg","marketing/assets/ads/heart/meta-4x5.jpg","marketing/assets/ads/heart/meta-1x1.jpg"
"Million Dollar Heart","heart","✅ ready","202610_pilot-test_heart","heart_h02_en","en","India's youngest tech billionaire. A small-town teacher who doesn't know.
Episode 1 free on Gulel · Ep 2+ with coins or VIP.","Million Dollar Heart · Episode 1 FREE","2-min episodes · AI Original","WATCH_MORE","https://thegulel.com/go/heart","utm_source={{site_source_name}}&utm_medium=paid_social&utm_campaign={{campaign.name}}&utm_term={{adset.name}}&utm_content={{ad.name}}","marketing/assets/ads/heart/meta-9x16.jpg","marketing/assets/ads/heart/meta-4x5.jpg","marketing/assets/ads/heart/meta-1x1.jpg"
"Medical Genius","doctor","✅ ready","202610_pilot-test_doctor","doctor_h02_hi","hi","अस्पताल का सबसे होनहार डॉक्टर… और उसका छुपा हुआ अतीत। 🩺
Episode 1 फ्री देखें। आगे के एपिसोड coins या VIP से।","Medical Genius · Episode 1 FREE","2-min episodes · AI Original","WATCH_MORE","https://thegulel.com/go/doctor","utm_source={{site_source_name}}&utm_medium=paid_social&utm_campaign={{campaign.name}}&utm_term={{adset.name}}&utm_content={{ad.name}}","marketing/assets/ads/doctor/meta-9x16.jpg","marketing/assets/ads/doctor/meta-4x5.jpg","marketing/assets/ads/doctor/meta-1x1.jpg"
"Medical Genius","doctor","✅ ready","202610_pilot-test_doctor","doctor_h02_hinglish","hinglish","Sabse hoshiyaar doctor… aur ek chhupa ateet. 🩺
Episode 1 FREE on Gulel. Ep 2+ with coins or VIP.","Medical Genius · Episode 1 FREE","2-min episodes · AI Original","WATCH_MORE","https://thegulel.com/go/doctor","utm_source={{site_source_name}}&utm_medium=paid_social&utm_campaign={{campaign.name}}&utm_term={{adset.name}}&utm_content={{ad.name}}","marketing/assets/ads/doctor/meta-9x16.jpg","marketing/assets/ads/doctor/meta-4x5.jpg","marketing/assets/ads/doctor/meta-1x1.jpg"
"Medical Genius","doctor","✅ ready","202610_pilot-test_doctor","doctor_h02_en","en","Brilliant surgeon. Mysterious past. One forbidden love.
Episode 1 free on Gulel · Ep 2+ with coins or VIP.","Medical Genius · Episode 1 FREE","2-min episodes · AI Original","WATCH_MORE","https://thegulel.com/go/doctor","utm_source={{site_source_name}}&utm_medium=paid_social&utm_campaign={{campaign.name}}&utm_term={{adset.name}}&utm_content={{ad.name}}","marketing/assets/ads/doctor/meta-9x16.jpg","marketing/assets/ads/doctor/meta-4x5.jpg","marketing/assets/ads/doctor/meta-1x1.jpg"
"Three Weddings","weddings","✅ ready","202610_pilot-test_weddings","weddings_h02_hi","hi","तीन बहनें, तीन शादियाँ… एक पागल शादी का सीज़न। 💃
Episode 1 फ्री देखें। आगे के एपिसोड coins या VIP से।","Three Weddings · Episode 1 FREE","2-min episodes · AI Original","WATCH_MORE","https://thegulel.com/go/weddings","utm_source={{site_source_name}}&utm_medium=paid_social&utm_campaign={{campaign.name}}&utm_term={{adset.name}}&utm_content={{ad.name}}","marketing/assets/ads/weddings/meta-9x16.jpg","marketing/assets/ads/weddings/meta-4x5.jpg","marketing/assets/ads/weddings/meta-1x1.jpg"
"Three Weddings","weddings","✅ ready","202610_pilot-test_weddings","weddings_h02_hinglish","hinglish","Teen behnein, teen shaadiyan, ek pagal season! 💃
Episode 1 FREE on Gulel. Ep 2+ with coins or VIP.","Three Weddings · Episode 1 FREE","2-min episodes · AI Original","WATCH_MORE","https://thegulel.com/go/weddings","utm_source={{site_source_name}}&utm_medium=paid_social&utm_campaign={{campaign.name}}&utm_term={{adset.name}}&utm_content={{ad.name}}","marketing/assets/ads/weddings/meta-9x16.jpg","marketing/assets/ads/weddings/meta-4x5.jpg","marketing/assets/ads/weddings/meta-1x1.jpg"
"Three Weddings","weddings","✅ ready","202610_pilot-test_weddings","weddings_h02_en","en","Three sisters, three weddings, one chaotic Jaipur wedding season.
Episode 1 free on Gulel · Ep 2+ with coins or VIP.","Three Weddings · Episode 1 FREE","2-min episodes · AI Original","WATCH_MORE","https://thegulel.com/go/weddings","utm_source={{site_source_name}}&utm_medium=paid_social&utm_campaign={{campaign.name}}&utm_term={{adset.name}}&utm_content={{ad.name}}","marketing/assets/ads/weddings/meta-9x16.jpg","marketing/assets/ads/weddings/meta-4x5.jpg","marketing/assets/ads/weddings/meta-1x1.jpg"
"Bound By Fate","fate","✅ ready","202610_pilot-test_fate","fate_h01_hi","hi","एक पत्रकार, एक उद्योगपति… और दोनों परिवारों का ख़तरनाक राज़। 🔗
Episode 1 फ्री देखें। आगे के एपिसोड coins या VIP से।","Bound By Fate · Episode 1 FREE","2-min episodes · AI Original","WATCH_MORE","https://thegulel.com/go/fate","utm_source={{site_source_name}}&utm_medium=paid_social&utm_campaign={{campaign.name}}&utm_term={{adset.name}}&utm_content={{ad.name}}","marketing/assets/ads/fate/meta-9x16.jpg","marketing/assets/ads/fate/meta-4x5.jpg","marketing/assets/ads/fate/meta-1x1.jpg"
"Bound By Fate","fate","✅ ready","202610_pilot-test_fate","fate_h01_hinglish","hinglish","Ek journalist, ek industrialist… aur ek khatarnak raaz. 🔗
Episode 1 FREE on Gulel. Ep 2+ with coins or VIP.","Bound By Fate · Episode 1 FREE","2-min episodes · AI Original","WATCH_MORE","https://thegulel.com/go/fate","utm_source={{site_source_name}}&utm_medium=paid_social&utm_campaign={{campaign.name}}&utm_term={{adset.name}}&utm_content={{ad.name}}","marketing/assets/ads/fate/meta-9x16.jpg","marketing/assets/ads/fate/meta-4x5.jpg","marketing/assets/ads/fate/meta-1x1.jpg"
"Bound By Fate","fate","✅ ready","202610_pilot-test_fate","fate_h01_en","en","A fiery journalist. A powerful industrialist. One buried family secret.
Episode 1 free on Gulel · Ep 2+ with coins or VIP.","Bound By Fate · Episode 1 FREE","2-min episodes · AI Original","WATCH_MORE","https://thegulel.com/go/fate","utm_source={{site_source_name}}&utm_medium=paid_social&utm_campaign={{campaign.name}}&utm_term={{adset.name}}&utm_content={{ad.name}}","marketing/assets/ads/fate/meta-9x16.jpg","marketing/assets/ads/fate/meta-4x5.jpg","marketing/assets/ads/fate/meta-1x1.jpg"
"The Last Empress","empress","✅ ready","202610_pilot-test_empress","empress_h01_hi","hi","महल में हर मुस्कान के पीछे… एक ख़ंजर छुपा है। 👑
Episode 1 फ्री देखें। आगे के एपिसोड coins या VIP से।","The Last Empress · Episode 1 FREE","2-min episodes · AI Original","WATCH_MORE","https://thegulel.com/go/empress","utm_source={{site_source_name}}&utm_medium=paid_social&utm_campaign={{campaign.name}}&utm_term={{adset.name}}&utm_content={{ad.name}}","marketing/assets/ads/empress/meta-9x16.jpg","marketing/assets/ads/empress/meta-4x5.jpg","marketing/assets/ads/empress/meta-1x1.jpg"
"The Last Empress","empress","✅ ready","202610_pilot-test_empress","empress_h01_hinglish","hinglish","Mehal mein har muskaan ke peeche ek khanjar. 👑
Episode 1 FREE on Gulel. Ep 2+ with coins or VIP.","The Last Empress · Episode 1 FREE","2-min episodes · AI Original","WATCH_MORE","https://thegulel.com/go/empress","utm_source={{site_source_name}}&utm_medium=paid_social&utm_campaign={{campaign.name}}&utm_term={{adset.name}}&utm_content={{ad.name}}","marketing/assets/ads/empress/meta-9x16.jpg","marketing/assets/ads/empress/meta-4x5.jpg","marketing/assets/ads/empress/meta-1x1.jpg"
"The Last Empress","empress","✅ ready","202610_pilot-test_empress","empress_h01_en","en","To reclaim her stolen throne, she must outplay the whole palace.
Episode 1 free on Gulel · Ep 2+ with coins or VIP.","The Last Empress · Episode 1 FREE","2-min episodes · AI Original","WATCH_MORE","https://thegulel.com/go/empress","utm_source={{site_source_name}}&utm_medium=paid_social&utm_campaign={{campaign.name}}&utm_term={{adset.name}}&utm_content={{ad.name}}","marketing/assets/ads/empress/meta-9x16.jpg","marketing/assets/ads/empress/meta-4x5.jpg","marketing/assets/ads/empress/meta-1x1.jpg"
"Dragon's Blood","dragon","✅ ready","202610_pilot-test_dragon","dragon_h04_hi","hi","गुरु का क़त्ल हुआ… अब वो अंडरवर्ल्ड में उतरेगी। 🐉
Episode 1 फ्री देखें। आगे के एपिसोड coins या VIP से।","Dragon's Blood · Episode 1 FREE","2-min episodes · AI Original","WATCH_MORE","https://thegulel.com/go/dragon","utm_source={{site_source_name}}&utm_medium=paid_social&utm_campaign={{campaign.name}}&utm_term={{adset.name}}&utm_content={{ad.name}}","marketing/assets/ads/dragon/meta-9x16.jpg","marketing/assets/ads/dragon/meta-4x5.jpg","marketing/assets/ads/dragon/meta-1x1.jpg"
"Dragon's Blood","dragon","✅ ready","202610_pilot-test_dragon","dragon_h04_hinglish","hinglish","Guru ka qatl… ab woh underworld mein utregi. 🐉
Episode 1 FREE on Gulel. Ep 2+ with coins or VIP.","Dragon's Blood · Episode 1 FREE","2-min episodes · AI Original","WATCH_MORE","https://thegulel.com/go/dragon","utm_source={{site_source_name}}&utm_medium=paid_social&utm_campaign={{campaign.name}}&utm_term={{adset.name}}&utm_content={{ad.name}}","marketing/assets/ads/dragon/meta-9x16.jpg","marketing/assets/ads/dragon/meta-4x5.jpg","marketing/assets/ads/dragon/meta-1x1.jpg"
"Dragon's Blood","dragon","✅ ready","202610_pilot-test_dragon","dragon_h04_en","en","Her master was murdered. She's going undercover to find the killer.
Episode 1 free on Gulel · Ep 2+ with coins or VIP.","Dragon's Blood · Episode 1 FREE","2-min episodes · AI Original","WATCH_MORE","https://thegulel.com/go/dragon","utm_source={{site_source_name}}&utm_medium=paid_social&utm_campaign={{campaign.name}}&utm_term={{adset.name}}&utm_content={{ad.name}}","marketing/assets/ads/dragon/meta-9x16.jpg","marketing/assets/ads/dragon/meta-4x5.jpg","marketing/assets/ads/dragon/meta-1x1.jpg"
"The Billionaire's Revenge","revenge","⚠️ verify","202610_pilot-test_revenge","revenge_h04_hi","hi","10 साल पहले उसने मेरा परिवार उजाड़ा… आज उसने मुझे ही नौकरी पर रखा है। 🔥
Episode 1 फ्री देखें। आगे के एपिसोड coins या VIP से।","Billionaire's Revenge · Episode 1 FREE","2-min episodes · AI Original","WATCH_MORE","https://thegulel.com/go/revenge","utm_source={{site_source_name}}&utm_medium=paid_social&utm_campaign={{campaign.name}}&utm_term={{adset.name}}&utm_content={{ad.name}}","marketing/assets/ads/revenge/meta-9x16.jpg","marketing/assets/ads/revenge/meta-4x5.jpg","marketing/assets/ads/revenge/meta-1x1.jpg"
"The Billionaire's Revenge","revenge","⚠️ verify","202610_pilot-test_revenge","revenge_h04_hinglish","hinglish","Use nahi pata usne kise naukri di hai. 🔥
Episode 1 FREE on Gulel. Ep 2+ with coins or VIP.","Billionaire's Revenge · Episode 1 FREE","2-min episodes · AI Original","WATCH_MORE","https://thegulel.com/go/revenge","utm_source={{site_source_name}}&utm_medium=paid_social&utm_campaign={{campaign.name}}&utm_term={{adset.name}}&utm_content={{ad.name}}","marketing/assets/ads/revenge/meta-9x16.jpg","marketing/assets/ads/revenge/meta-4x5.jpg","marketing/assets/ads/revenge/meta-1x1.jpg"
"The Billionaire's Revenge","revenge","⚠️ verify","202610_pilot-test_revenge","revenge_h04_en","en","She destroyed his family. She has no idea who she just hired.
Episode 1 free on Gulel · Ep 2+ with coins or VIP.","Billionaire's Revenge · Episode 1 FREE","2-min episodes · AI Original","WATCH_MORE","https://thegulel.com/go/revenge","utm_source={{site_source_name}}&utm_medium=paid_social&utm_campaign={{campaign.name}}&utm_term={{adset.name}}&utm_content={{ad.name}}","marketing/assets/ads/revenge/meta-9x16.jpg","marketing/assets/ads/revenge/meta-4x5.jpg","marketing/assets/ads/revenge/meta-1x1.jpg"
"The Mafia Lord's Bride","mafia","⚠️ verify","202610_pilot-test_mafia","mafia_h01_hi","hi","वो सब छोड़कर भागी थी… वो सब का मालिक था। 🖤
Episode 1 फ्री देखें। आगे के एपिसोड coins या VIP से।","Mafia Lord's Bride · Episode 1 FREE","2-min episodes · AI Original","WATCH_MORE","https://thegulel.com/go/mafia","utm_source={{site_source_name}}&utm_medium=paid_social&utm_campaign={{campaign.name}}&utm_term={{adset.name}}&utm_content={{ad.name}}","marketing/assets/ads/mafia/meta-9x16.jpg","marketing/assets/ads/mafia/meta-4x5.jpg","marketing/assets/ads/mafia/meta-1x1.jpg"
"The Mafia Lord's Bride","mafia","⚠️ verify","202610_pilot-test_mafia","mafia_h01_hinglish","hinglish","Woh sab chhod kar bhaagi… woh sab ka maalik tha. 🖤
Episode 1 FREE on Gulel. Ep 2+ with coins or VIP.","Mafia Lord's Bride · Episode 1 FREE","2-min episodes · AI Original","WATCH_MORE","https://thegulel.com/go/mafia","utm_source={{site_source_name}}&utm_medium=paid_social&utm_campaign={{campaign.name}}&utm_term={{adset.name}}&utm_content={{ad.name}}","marketing/assets/ads/mafia/meta-9x16.jpg","marketing/assets/ads/mafia/meta-4x5.jpg","marketing/assets/ads/mafia/meta-1x1.jpg"
"The Mafia Lord's Bride","mafia","⚠️ verify","202610_pilot-test_mafia","mafia_h01_en","en","She ran from everything. He owned everything.
Episode 1 free on Gulel · Ep 2+ with coins or VIP.","Mafia Lord's Bride · Episode 1 FREE","2-min episodes · AI Original","WATCH_MORE","https://thegulel.com/go/mafia","utm_source={{site_source_name}}&utm_medium=paid_social&utm_campaign={{campaign.name}}&utm_term={{adset.name}}&utm_content={{ad.name}}","marketing/assets/ads/mafia/meta-9x16.jpg","marketing/assets/ads/mafia/meta-4x5.jpg","marketing/assets/ads/mafia/meta-1x1.jpg"
"My Stepmother's Lies","stepmom","⚠️ verify","202610_pilot-test_stepmom","stepmom_h01_hi","hi","सौतेली माँ ने मुझे हमेशा छुपाया… पर उसकी नज़र सिर्फ़ मुझ पर है। 🫥
Episode 1 फ्री देखें। आगे के एपिसोड coins या VIP से।","My Stepmother's Lies · Episode 1 FREE","2-min episodes · AI Original","WATCH_MORE","https://thegulel.com/go/stepmom","utm_source={{site_source_name}}&utm_medium=paid_social&utm_campaign={{campaign.name}}&utm_term={{adset.name}}&utm_content={{ad.name}}","marketing/assets/ads/stepmom/meta-9x16.jpg","marketing/assets/ads/stepmom/meta-4x5.jpg","marketing/assets/ads/stepmom/meta-1x1.jpg"
"My Stepmother's Lies","stepmom","⚠️ verify","202610_pilot-test_stepmom","stepmom_h01_hinglish","hinglish","Sauteli maa ne chhupaya… par woh sirf mujhe dekhta hai. 🫥
Episode 1 FREE on Gulel. Ep 2+ with coins or VIP.","My Stepmother's Lies · Episode 1 FREE","2-min episodes · AI Original","WATCH_MORE","https://thegulel.com/go/stepmom","utm_source={{site_source_name}}&utm_medium=paid_social&utm_campaign={{campaign.name}}&utm_term={{adset.name}}&utm_content={{ad.name}}","marketing/assets/ads/stepmom/meta-9x16.jpg","marketing/assets/ads/stepmom/meta-4x5.jpg","marketing/assets/ads/stepmom/meta-1x1.jpg"
"My Stepmother's Lies","stepmom","⚠️ verify","202610_pilot-test_stepmom","stepmom_h01_en","en","Raised to be invisible. Finally, someone sees her.
Episode 1 free on Gulel · Ep 2+ with coins or VIP.","My Stepmother's Lies · Episode 1 FREE","2-min episodes · AI Original","WATCH_MORE","https://thegulel.com/go/stepmom","utm_source={{site_source_name}}&utm_medium=paid_social&utm_campaign={{campaign.name}}&utm_term={{adset.name}}&utm_content={{ad.name}}","marketing/assets/ads/stepmom/meta-9x16.jpg","marketing/assets/ads/stepmom/meta-4x5.jpg","marketing/assets/ads/stepmom/meta-1x1.jpg"
