"series","alias","status","use_in","asset_type","text","chars","final_url"
"Three Weddings","weddings","✅ ready","Search · App · Demand Gen","headline (≤30)","अरेंज या लव?","9","https://thegulel.com/go/weddings?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_weddings"
"Three Weddings","weddings","✅ ready","Search · App · Demand Gen","headline (≤30)","आप किस बहन जैसी हैं?","15","https://thegulel.com/go/weddings?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_weddings"
"Three Weddings","weddings","✅ ready","Demand Gen · PMax","long headline (≤90)","Three sisters, three weddings, one chaotic Jaipur wedding season. Watch Episode 1 free.","87","https://thegulel.com/go/weddings?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_weddings"
"Three Weddings","weddings","✅ ready","Search · App · Demand Gen","description (≤90)","Watch Episode 1 free on Gulel. 2-minute Hindi episodes. Ep 2+ with coins or VIP.","80","https://thegulel.com/go/weddings?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_weddings"
"Three Weddings","weddings","✅ ready","Search · App · Demand Gen","description (≤90)","Three sisters, three weddings, one chaotic Jaipur wedding season.","65","https://thegulel.com/go/weddings?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_weddings"
"Bound By Fate","fate","✅ ready","Search · App · Demand Gen","headline (≤30)","Bound By Fate","13","https://thegulel.com/go/fate?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_fate"
"Bound By Fate","fate","✅ ready","Search · App · Demand Gen","headline (≤30)","Episode 1 FREE on Gulel","23","https://thegulel.com/go/fate?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_fate"
"Bound By Fate","fate","✅ ready","Search · App · Demand Gen","headline (≤30)","एक पत्रकार, एक उद्योगपति।","18","https://thegulel.com/go/fate?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_fate"
"Bound By Fate","fate","✅ ready","Search · App · Demand Gen","headline (≤30)","एक गाला नाइट… एक राज़।","17","https://thegulel.com/go/fate?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_fate"
"Bound By Fate","fate","✅ ready","Search · App · Demand Gen","headline (≤30)","सच या प्यार?","8","https://thegulel.com/go/fate?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_fate"
"Bound By Fate","fate","✅ ready","Demand Gen · PMax","long headline (≤90)","A fiery journalist. A powerful industrialist. One buried family secret.","71","https://thegulel.com/go/fate?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_fate"
"Bound By Fate","fate","✅ ready","Search · App · Demand Gen","description (≤90)","Watch Episode 1 free on Gulel. 2-minute Hindi episodes. Ep 2+ with coins or VIP.","80","https://thegulel.com/go/fate?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_fate"
"Bound By Fate","fate","✅ ready","Search · App · Demand Gen","description (≤90)","A fiery journalist. A powerful industrialist. One buried family secret.","71","https://thegulel.com/go/fate?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_fate"
"The Last Empress","empress","✅ ready","Search · App · Demand Gen","headline (≤30)","The Last Empress","16","https://thegulel.com/go/empress?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_empress"
"The Last Empress","empress","✅ ready","Search · App · Demand Gen","headline (≤30)","Episode 1 FREE on Gulel","23","https://thegulel.com/go/empress?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_empress"
"The Last Empress","empress","✅ ready","Search · App · Demand Gen","headline (≤30)","हर मुस्कान के पीछे ख़ंजर।","16","https://thegulel.com/go/empress?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_empress"
"The Last Empress","empress","✅ ready","Search · App · Demand Gen","headline (≤30)","छीना हुआ ताज वापस चाहिए।","17","https://thegulel.com/go/empress?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_empress"
"The Last Empress","empress","✅ ready","Search · App · Demand Gen","headline (≤30)","प्यार या सिंहासन?","10","https://thegulel.com/go/empress?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_empress"
"The Last Empress","empress","✅ ready","Demand Gen · PMax","long headline (≤90)","To reclaim her stolen throne, she must outplay the whole palace. Watch Episode 1 free.","86","https://thegulel.com/go/empress?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_empress"
"The Last Empress","empress","✅ ready","Search · App · Demand Gen","description (≤90)","Watch Episode 1 free on Gulel. 2-minute Hindi episodes. Ep 2+ with coins or VIP.","80","https://thegulel.com/go/empress?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_empress"
"The Last Empress","empress","✅ ready","Search · App · Demand Gen","description (≤90)","To reclaim her stolen throne, she must outplay the whole palace.","64","https://thegulel.com/go/empress?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_empress"
"Dragon's Blood","dragon","✅ ready","Search · App · Demand Gen","headline (≤30)","Dragon's Blood","14","https://thegulel.com/go/dragon?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_dragon"
"Dragon's Blood","dragon","✅ ready","Search · App · Demand Gen","headline (≤30)","Episode 1 FREE on Gulel","23","https://thegulel.com/go/dragon?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_dragon"
"Dragon's Blood","dragon","✅ ready","Search · App · Demand Gen","headline (≤30)","गुरु के क़ातिल को ढूँढूँगी।","15","https://thegulel.com/go/dragon?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_dragon"
"Dragon's Blood","dragon","✅ ready","Search · App · Demand Gen","headline (≤30)","अंडरकवर… अंडरवर्ल्ड में।","16","https://thegulel.com/go/dragon?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_dragon"
"Dragon's Blood","dragon","✅ ready","Search · App · Demand Gen","headline (≤30)","एक रात। एक ट्रायड।","14","https://thegulel.com/go/dragon?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_dragon"
"Dragon's Blood","dragon","✅ ready","Demand Gen · PMax","long headline (≤90)","Her master was murdered. She's going undercover to find the killer. Watch Episode 1 free.","89","https://thegulel.com/go/dragon?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_dragon"
"Dragon's Blood","dragon","✅ ready","Search · App · Demand Gen","description (≤90)","Watch Episode 1 free on Gulel. 2-minute Hindi episodes. Ep 2+ with coins or VIP.","80","https://thegulel.com/go/dragon?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_dragon"
"Dragon's Blood","dragon","✅ ready","Search · App · Demand Gen","description (≤90)","Her master was murdered. She's going undercover to find the killer.","67","https://thegulel.com/go/dragon?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_dragon"
"The Billionaire's Revenge","revenge","⚠️ verify","Search · App · Demand Gen","headline (≤30)","The Billionaire's Revenge","25","https://thegulel.com/go/revenge?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_revenge"
"The Billionaire's Revenge","revenge","⚠️ verify","Search · App · Demand Gen","headline (≤30)","Episode 1 FREE on Gulel","23","https://thegulel.com/go/revenge?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_revenge"
"The Billionaire's Revenge","revenge","⚠️ verify","Search · App · Demand Gen","headline (≤30)","आज उसने मुझे ही नौकरी दी।","18","https://thegulel.com/go/revenge?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_revenge"
"The Billionaire's Revenge","revenge","⚠️ verify","Search · App · Demand Gen","headline (≤30)","उसे नहीं पता मैं कौन हूँ।","16","https://thegulel.com/go/revenge?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_revenge"
"The Billionaire's Revenge","revenge","⚠️ verify","Search · App · Demand Gen","headline (≤30)","10 साल पहले उसने परिवार उजाड़ा।","23","https://thegulel.com/go/revenge?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_revenge"
"The Billionaire's Revenge","revenge","⚠️ verify","Demand Gen","headline (≤40)","Use nahi pata usne kise naukri di hai.","38","https://thegulel.com/go/revenge?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_revenge"
"The Billionaire's Revenge","revenge","⚠️ verify","Demand Gen · PMax","long headline (≤90)","She destroyed his family. She has no idea who she just hired. Watch Episode 1 free.","83","https://thegulel.com/go/revenge?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_revenge"
"The Billionaire's Revenge","revenge","⚠️ verify","Search · App · Demand Gen","description (≤90)","Watch Episode 1 free on Gulel. 2-minute Hindi episodes. Ep 2+ with coins or VIP.","80","https://thegulel.com/go/revenge?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_revenge"
"The Billionaire's Revenge","revenge","⚠️ verify","Search · App · Demand Gen","description (≤90)","She destroyed his family. She has no idea who she just hired.","61","https://thegulel.com/go/revenge?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_revenge"
"The Mafia Lord's Bride","mafia","⚠️ verify","Search · App · Demand Gen","headline (≤30)","The Mafia Lord's Bride","22","https://thegulel.com/go/mafia?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_mafia"
"The Mafia Lord's Bride","mafia","⚠️ verify","Search · App · Demand Gen","headline (≤30)","Episode 1 FREE on Gulel","23","https://thegulel.com/go/mafia?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_mafia"
"The Mafia Lord's Bride","mafia","⚠️ verify","Search · App · Demand Gen","headline (≤30)","वो सब छोड़कर भागी…","13","https://thegulel.com/go/mafia?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_mafia"
"The Mafia Lord's Bride","mafia","⚠️ verify","Search · App · Demand Gen","headline (≤30)","वो सब का मालिक था।","13","https://thegulel.com/go/mafia?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_mafia"
"The Mafia Lord's Bride","mafia","⚠️ verify","Search · App · Demand Gen","headline (≤30)","आज़ादी या उसका साथ?","13","https://thegulel.com/go/mafia?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_mafia"
"The Mafia Lord's Bride","mafia","⚠️ verify","Demand Gen · PMax","long headline (≤90)","She ran from everything. He owned everything. Watch Episode 1 free.","67","https://thegulel.com/go/mafia?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_mafia"
"The Mafia Lord's Bride","mafia","⚠️ verify","Search · App · Demand Gen","description (≤90)","Watch Episode 1 free on Gulel. 2-minute Hindi episodes. Ep 2+ with coins or VIP.","80","https://thegulel.com/go/mafia?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_mafia"
"The Mafia Lord's Bride","mafia","⚠️ verify","Search · App · Demand Gen","description (≤90)","She ran from everything. He owned everything.","45","https://thegulel.com/go/mafia?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_mafia"
"My Stepmother's Lies","stepmom","⚠️ verify","Search · App · Demand Gen","headline (≤30)","My Stepmother's Lies","20","https://thegulel.com/go/stepmom?utm_source=google&utm_medium=demand_gen&utm_campaign=202610_pilot-test_stepmom"
